,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_colsample_bylevel,param_colsample_bynode,param_colsample_bytree,param_eval_metric,param_grow_policy,param_lambda,param_learning_rate,param_max_delta_step,param_max_depth,param_max_leaves,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score,rank_train_score
0,0.16693720817565919,0.028026511139510178,0.01810300350189209,0.008519135884878728,0.02956829603108439,0.6005149159902602,0.14417064150226258,0.8625762406336394,logloss,depthwise,5.461320181898776,0.6401328001496289,19,14,1,11,96,0.9236408940352403,"OrderedDict([('alpha', 0.02956829603108439), ('colsample_bylevel', 0.6005149159902602), ('colsample_bynode', 0.14417064150226258), ('colsample_bytree', 0.8625762406336394), ('eval_metric', 'logloss'), ('grow_policy', 'depthwise'), ('lambda', 5.461320181898776), ('learning_rate', 0.6401328001496289), ('max_delta_step', 19), ('max_depth', 14), ('max_leaves', 1), ('min_child_weight', 11), ('n_estimators', 96), ('subsample', 0.9236408940352403)])",-2.917644116538567e-05,-2.066921857111194e-05,-1.8618647437181212e-05,-0.00012975182068700387,-0.00011714862701022923,-2.752078231709011e-05,-9.171985492654332e-05,-4.759607760277081e-05,-1.4443637442310637e-05,-1.4748282794590991e-05,-5.1139338995421773e-05,4.230081980187754e-05,15,-0.000129478516083351,-0.00012158666205179836,-0.00011422938594570894,-0.00010772780022893355,-0.0001090819065167904,-0.00010956094783815818,-0.00010492993957082461,-0.0001042309779409521,-0.00010134819339255428,-9.715464114075035e-05,-0.00010993289707098219,9.146303559756045e-06,44
1,0.0686577558517456,0.051493179100927995,0.006240129470825195,0.005076619661991619,1.1150995234759704,0.2572210251276721,0.3605457105919076,0.5771048928315178,auc,lossguide,0.33250342291332624,0.5998534319437484,16,19,3,14,5,0.9330593111604096,"OrderedDict([('alpha', 1.1150995234759704), ('colsample_bylevel', 0.2572210251276721), ('colsample_bynode', 0.3605457105919076), ('colsample_bytree', 0.5771048928315178), ('eval_metric', 'auc'), ('grow_policy', 'lossguide'), ('lambda', 0.33250342291332624), ('learning_rate', 0.5998534319437484), ('max_delta_step', 16), ('max_depth', 19), ('max_leaves', 3), ('min_child_weight', 14), ('n_estimators', 5), ('subsample', 0.9330593111604096)])",-6.36186600535452e-05,-5.808548845691628e-05,-5.123414111120606e-05,-0.00014219000007006057,-0.0001516518944726443,-6.184636413253453e-05,-0.0001378419355195864,-7.18670969465153e-05,-5.066941324647703e-05,-4.524825006965525e-05,-8.342532440791409e-05,4.03356987344051e-05,63,-0.00016787061241584926,-0.00015893718836788813,-0.00015075850932093,-0.00014362071081450148,-0.0001444238680785192,-0.00014416188607227945,-0.00013898809573705312,-0.0001377222023026583,-0.0001344647643832344,-0.00012993039898456644,-0.00014508782364774795,1.0865190424496064e-05,63
2,0.09432382583618164,0.009644249094217013,0.010036516189575195,0.006541887528598534,0.7599211339579964,0.550758988467158,0.9006778924628225,0.7692108131243873,logloss,lossguide,0.05589379927192303,0.5311023798667422,8,16,3,20,45,0.9123216627301793,"OrderedDict([('alpha', 0.7599211339579964), ('colsample_bylevel', 0.550758988467158), ('colsample_bynode', 0.9006778924628225), ('colsample_bytree', 0.7692108131243873), ('eval_metric', 'logloss'), ('grow_policy', 'lossguide'), ('lambda', 0.05589379927192303), ('learning_rate', 0.5311023798667422), ('max_delta_step', 8), ('max_depth', 16), ('max_leaves', 3), ('min_child_weight', 20), ('n_estimators', 45), ('subsample', 0.9123216627301793)])",-3.0417123541787572e-05,-2.087432860731196e-05,-1.9246088410484556e-05,-0.00013519145203194454,-0.00011635658574230215,-2.6766061114509437e-05,-9.388792531252357e-05,-4.7777450850820714e-05,-1.4399869460204877e-05,-1.4835244654225333e-05,-5.1975212972611466e-05,4.332920159937704e-05,32,-0.00012519492394171542,-0.00011795318145236313,-0.00011031999391646828,-0.00010411013325816189,-0.00010582081769673774,-0.00010682554534699232,-0.0001022201693744052,-0.00010155432879227618,-9.837315445607631e-05,-9.382747494885196e-05,-0.00010661997231840486,8.779623121071377e-06,25
3,0.09310617446899414,0.01430298598352814,0.004150795936584473,0.0007677246770874969,0.018061544482110326,0.17715611983525278,0.5142532872923138,0.6872231581809198,auc,lossguide,1.0876029471443243,0.23296392256607662,5,15,4,12,85,0.9949409894921245,"OrderedDict([('alpha', 0.018061544482110326), ('colsample_bylevel', 0.17715611983525278), ('colsample_bynode', 0.5142532872923138), ('colsample_bytree', 0.6872231581809198), ('eval_metric', 'auc'), ('grow_policy', 'lossguide'), ('lambda', 1.0876029471443243), ('learning_rate', 0.23296392256607662), ('max_delta_step', 5), ('max_depth', 15), ('max_leaves', 4), ('min_child_weight', 12), ('n_estimators', 85), ('subsample', 0.9949409894921245)])",-2.8998539217057065e-05,-2.137717847455485e-05,-1.929478394175638e-05,-0.00014609463741742978,-0.00011816083486224018,-2.836117491806066e-05,-9.517979780493811e-05,-4.753661146265948e-05,-1.4357281911405759e-05,-1.5167923935829865e-05,-5.3452876394593204e-05,4.578557719982437e-05,43,-9.712373563077842e-05,-9.136316352083552e-05,-8.670499820611567e-05,-8.156617372360826e-05,-8.378886626004908e-05,-8.468246500821806e-05,-8.197250090518198e-05,-8.28492469147542e-05,-8.100748498636714e-05,-7.748285967106409e-05,-8.485414948269724e-05,5.383001129036566e-06,7
4,0.08474280834197997,0.008504454276188537,0.0062005043029785155,0.0018292645579936618,0.11846844163642456,0.7936325951871546,0.44230092999160675,0.9895900995997107,logloss,depthwise,71.38980661470927,0.341220386913827,4,9,2,11,32,0.9715965706814914,"OrderedDict([('alpha', 0.11846844163642456), ('colsample_bylevel', 0.7936325951871546), ('colsample_bynode', 0.44230092999160675), ('colsample_bytree', 0.9895900995997107), ('eval_metric', 'logloss'), ('grow_policy', 'depthwise'), ('lambda', 71.38980661470927), ('learning_rate', 0.341220386913827), ('max_delta_step', 4), ('max_depth', 9), ('max_leaves', 2), ('min_child_weight', 11), ('n_estimators', 32), ('subsample', 0.9715965706814914)])",-2.8718743836365263e-05,-2.004247581756638e-05,-1.8803303042564634e-05,-0.00013009203795450824,-0.00011757451687348566,-2.7154385515676228e-05,-9.630087423937188e-05,-4.75719911784734e-05,-1.440011264035688e-05,-1.4614167583676954e-05,-5.152726086820455e-05,4.2979531216664694e-05,24,-0.00012351569006937085,-0.00011607995842903051,-0.0001094668761853045,-0.00010290474367863287,-0.00010457147034713113,-0.00010556952296369483,-0.00010106886681467985,-0.00010045952469365848,-9.774505442699956e-05,-9.378356310997687e-05,-0.00010551652707184794,8.380284883310653e-06,23
5,0.09124064445495605,0.009856786998462038,0.005218386650085449,0.0018563888506999682,5.34206399297682,0.9037995406609697,0.823919532168955,0.42640070730273794,auc,lossguide,0.5143760126477668,0.7152094957828472,17,10,4,17,58,0.9857663481248544,"OrderedDict([('alpha', 5.34206399297682), ('colsample_bylevel', 0.9037995406609697), ('colsample_bynode', 0.823919532168955), ('colsample_bytree', 0.42640070730273794), ('eval_metric', 'auc'), ('grow_policy', 'lossguide'), ('lambda', 0.5143760126477668), ('learning_rate', 0.7152094957828472), ('max_delta_step', 17), ('max_depth', 10), ('max_leaves', 4), ('min_child_weight', 17), ('n_estimators', 58), ('subsample', 0.9857663481248544)])",-4.5878656879927836e-05,-3.725335939121395e-05,-3.0143206070312292e-05,-0.000128265273069351,-0.00012723387673045194,-3.680195064456212e-05,-0.0001051765549182214,-5.0508338723586206e-05,-2.2454821855944565e-05,-1.9461476293592066e-05,-6.031775145771634e-05,4.063244603754026e-05,54,-0.00014891653534547864,-0.00013805900062954863,-0.00012791208871927692,-0.00011968046872600075,-0.00011933303713584495,-0.0001187704396659224,-0.00011299391919496142,-0.0001112651973622664,-0.00010776460814487236,-0.00010230659937346145,-0.00012070018942976339,1.3454344870373688e-05,58
6,0.08603096008300781,0.01917750979073683,0.01198887825012207,0.004770689354500525,8.134214644670452,0.43221189829747186,0.05232339495179337,0.2463595502978566,logloss,lossguide,0.13053000869844925,0.29351552782113516,14,12,1,16,11,0.9444338928261155,"OrderedDict([('alpha', 8.134214644670452), ('colsample_bylevel', 0.43221189829747186), ('colsample_bynode', 0.05232339495179337), ('colsample_bytree', 0.2463595502978566), ('eval_metric', 'logloss'), ('grow_policy', 'lossguide'), ('lambda', 0.13053000869844925), ('learning_rate', 0.29351552782113516), ('max_delta_step', 14), ('max_depth', 12), ('max_leaves', 1), ('min_child_weight', 16), ('n_estimators', 11), ('subsample', 0.9444338928261155)])",-0.00034628647445896334,-0.0003290140316069495,-0.0002990890901981591,-0.00034271150739188626,-0.0003802525978472837,-0.0002817746659311027,-0.0003696496926924464,-0.0002614419525555878,-0.0002537141507589072,-0.0002339280828807301,-0.0003097862246322016,4.8445820761535086e-05,73,-0.0004579833849808508,-0.00042974528943031477,-0.00040560586845368084,-0.0003850239355609332,-0.0003744557800928059,-0.00036455396450080674,-0.0003507944749494945,-0.0003424171093318469,-0.000332478846759758,-0.0003222498427533586,-0.000376530849681385,4.152667571670001e-05,73
7,0.1345667600631714,0.017857881991932268,0.006618428230285645,0.003453965075899465,36.24649943849714,0.8324725216209521,0.28576936241188,0.37504076741156106,auc,depthwise,28.067182921622834,0.42932417043981497,1,18,2,13,74,0.9011856816363863,"OrderedDict([('alpha', 36.24649943849714), ('colsample_bylevel', 0.8324725216209521), ('colsample_bynode', 0.28576936241188), ('colsample_bytree', 0.37504076741156106), ('eval_metric', 'auc'), ('grow_policy', 'depthwise'), ('lambda', 28.067182921622834), ('learning_rate', 0.42932417043981497), ('max_delta_step', 1), ('max_depth', 18), ('max_leaves', 2), ('min_child_weight', 13), ('n_estimators', 74), ('subsample', 0.9011856816363863)])",-0.0011332064532245645,-0.0009728435690176351,-0.0008247321795101265,-0.0007426160607847232,-0.0007426222425316103,-0.0005839749562289409,-0.0006355893199153129,-0.00046090884068541115,-0.00042766554496289076,-0.0003728508555409965,-0.0006897010022402212,0.00023156195684865099,75,-0.0012545261643005282,-0.001073434854521597,-0.000938633012757282,-0.0008236801950248256,-0.0007380413501180171,-0.000667105744547077,-0.0006032368254865278,-0.0005508178636581519,-0.0005038428808683496,-0.0004627881973068211,-0.0007616107088589178,0.00024700834424214456,75
8,0.1481329917907715,0.024939212875645093,0.016303515434265135,0.00923279330950498,42.7500971615763,0.07626911823494956,0.7221976355712132,0.06847117708920562,auc,depthwise,8.693192805970119,0.49122536591756927,9,19,5,17,67,0.9690309965322905,"OrderedDict([('alpha', 42.7500971615763), ('colsample_bylevel', 0.07626911823494956), ('colsample_bynode', 0.7221976355712132), ('colsample_bytree', 0.06847117708920562), ('eval_metric', 'auc'), ('grow_policy', 'depthwise'), ('lambda', 8.693192805970119), ('learning_rate', 0.49122536591756927), ('max_delta_step', 9), ('max_depth', 19), ('max_leaves', 5), ('min_child_weight', 17), ('n_estimators', 67), ('subsample', 0.9690309965322905)])",-0.001397255937836428,-0.0012025781033075816,-0.0010134884293312686,-0.0008977520558458019,-0.0008894900221168656,-0.0007133376667245617,-0.0007537799226458463,-0.0005581727992791297,-0.0005199544118139821,-0.00045373065750731634,-0.0008399540006408782,0.0002885163496911406,78,-0.0015209227446694033,-0.001303132319848467,-0.001129386510010457,-0.0009901207722915503,-0.00088529395537413,-0.0007965879572917203,-0.0007165348966663314,-0.000651630685959278,-0.0005949839561309049,-0.0005444636105867894,-0.0009133057408829031,0.0003054059935825475,78
9,0.08957877159118652,0.029069049151885903,0.006614089012145996,0.004536966254623481,0.3397524350268304,0.31830486018888754,0.6384495466709247,0.12495944951538471,logloss,depthwise,0.015586179312559617,0.7889104939448404,12,13,0,19,27,0.9546491439998522,"OrderedDict([('alpha', 0.3397524350268304), ('colsample_bylevel', 0.31830486018888754), ('colsample_bynode', 0.6384495466709247), ('colsample_bytree', 0.12495944951538471), ('eval_metric', 'logloss'), ('grow_policy', 'depthwise'), ('lambda', 0.015586179312559617), ('learning_rate', 0.7889104939448404), ('max_delta_step', 12), ('max_depth', 13), ('max_leaves', 0), ('min_child_weight', 19), ('n_estimators', 27), ('subsample', 0.9546491439998522)])",-2.9957988514994582e-05,-2.0017720943279662e-05,-2.043737244150089e-05,-0.0001308890352296222,-0.00011949787737828119,-2.793440048173478e-05,-9.424201019305192e-05,-4.7171751935776576e-05,-1.5865834950163508e-05,-1.5283375325291997e-05,-5.2129736739369715e-05,4.280751313990047e-05,35,-0.00012330244463377472,-0.00011453789900641345,-0.00011028721978670679,-0.00010173167520744644,-0.0001017208103322608,-0.00010443877358776313,-0.00010052799707719497,-9.93461624051837e-05,-9.601654719306267e-05,-9.238189598772886e-05,-0.00010442914252175355,8.742314209056404e-06,20
